일자,특수일구분명, 특수일구분코드, 특수일전후특송기간범위내용, 특수일전후특송기간범위구분코드, 교통량
20200101,연말연시,1,D,4,3850431
20200102,연말연시,1,D+1,5,4312117
20200103,연말연시,1,D+2,6,4707697
20200104,연말연시,1,D+3,7,4335455
20200122,설날,2,D-3,1,4744082
20200123,설날,2,D-2,2,4905102
20200124,설날,2,D-1,3,4872315
20200125,설날,2,D,4,6184118
20200126,설날,2,D+1,5,5027428
20200127,설날,2,D+2,6,3542192
20200128,설날,2,D+3,7,4136628
20200928,추석,3,D-3,1,5154227
20200929,추석,3,D-2,2,5372557
20200930,추석,3,D-1,3,4390164
20201001,추석,3,D,4,4996551
20201002,추석,3,D+1,5,4661312
20201003,추석,3,D+2,6,4368800
20201004,추석,3,D+3,7,3746451
20201229,연말연시,1,D-3,1,4440342
20201230,연말연시,1,D-2,2,4096550
20201231,연말연시,1,D-1,3,3411786
